CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
-0.03524,0.65029,-0.12884,0.21839,0.53757,0.085,0.29964,0.50103,0.19001,-0.39286,0.7091,-0.38285
0.40163,0.61638,0.29889,0.82659,0.49709,0.55121,0.89202,0.52776,0.69578,0.18523,0.70064,0.04075
1.1702,0.50502,0.90435,0.9787,0.61407,0.7656,1.059,0.6954,0.87642,0.73579,0.67496,0.48708
1.7384,0.43896,1.4369,1.0977,0.72618,0.92012,0.9032,0.90589,0.87144,1.3822,0.57769,1.0628
1.0474,0.90209,0.98958,0.88129,0.95597,0.82359,0.84881,1.0683,0.91613,1.8639,0.51375,1.5268
0.90297,1.0579,0.95976,0.91712,1.0644,0.89165,0.94135,1.2258,1.0592,1.1494,0.99447,1.0268
0.92161,1.1982,1.0361,1.0433,1.1899,1.0319,1.0751,1.3698,1.217,1.1414,1.2788,1.1034
0.98542,1.4155,1.1717,1.0238,1.4154,1.0718,1.695,1.2099,1.6189,2.1155,0.86597,1.8319
0.99252,1.5734,1.232,0.96401,1.5757,1.1112,1.3297,1.0352,1.337,1.6925,0.84328,1.4872
0.94868,1.6991,1.2528,0.95951,1.7851,1.1782,1.0904,0.90023,1.019,1.3392,0.93479,1.1278
0.84555,1.7874,1.2468,0.91422,1.9769,1.2233,1.1737,1.2905,1.1552,1.415,1.3931,1.2669
0.73207,1.873,1.2185,0.80752,2.1148,1.2232,0.9527,1.8266,1.2822,1.1253,1.8891,1.3046
0.59615,1.9979,1.2417,0.68657,2.2774,1.2424,0.70053,2.2784,1.3734,0.86572,2.2805,1.3442
0.46529,2.0833,1.2485,0.58034,2.4418,1.2561,0.50129,2.5544,1.4077,0.69288,2.4421,1.3413
0.32851,2.1263,1.2064,0.45086,2.5489,1.2332,0.32531,2.6224,1.3603,0.5437,2.5251,1.2971
0.22296,2.2903,1.2365,0.333,2.6184,1.1822,0.13957,2.7775,1.3641,0.37872,2.6411,1.2949
0.10214,2.3625,1.1941,0.19965,2.6769,1.1335,-0.02586,2.817,1.3003,0.10822,2.469,1.1719
-0.02325,2.3568,1.1593,0.07907,2.7641,1.0909,-0.18419,2.8229,1.2155,-0.11774,1.9852,0.90362
-0.10814,2.3347,1.0962,-0.04698,2.8157,1.0364,-0.33498,2.8821,1.158,-0.05559,1.6618,0.65706
-0.1774,2.2941,0.99053,-0.17619,2.741,0.93584,-0.45316,2.681,0.99155,-0.09247,2.1446,0.76167
-0.22213,2.2469,0.89062,-0.26899,2.7111,0.85539,-0.54083,2.6482,0.89676,-0.26138,2.6037,0.90617
-0.29977,2.2556,0.79551,-0.34841,2.6268,0.74591,-0.63533,2.6124,0.81044,-0.40832,2.6931,0.86735
-0.34569,2.2142,0.71004,-0.40186,2.4952,0.63261,-0.73626,2.475,0.6948,-0.49466,2.5722,0.75557
-0.44291,2.2311,0.66316,-0.39147,2.2856,0.50773,-0.76304,2.328,0.57629,-0.5738,2.4676,0.66731
-0.49685,1.9086,0.48912,-0.41556,2.218,0.43107,-0.7659,2.2302,0.49151,-0.67532,2.3822,0.59108
-0.4836,1.5484,0.33491,-0.41959,2.1187,0.35709,-0.7078,1.9764,0.36759,-0.72528,2.058,0.45876
-0.38188,1.1452,0.19648,-0.40463,2.0511,0.29819,-0.65752,1.8082,0.27744,-0.65722,1.6518,0.30271
-0.2051,1.0396,0.09588,-0.34394,1.9007,0.21821,-0.54466,1.6061,0.17842,-0.41268,1.4522,0.19578
-0.0645,1.3118,0.04264,-0.23949,1.6318,0.14507,-0.40115,1.4315,0.10403,-0.24951,1.5019,0.14159
-0.11725,1.5178,0.09798,-0.15401,1.476,0.09257,-0.25347,1.25,0.01748,-0.28035,1.645,0.16414
-0.04566,1.3437,0.05783,-0.0073,1.2491,0.0249,0.0603,1.045,-0.12555,-0.22813,1.4783,0.13862
0.15252,1.1456,-0.03806,0.16176,1.0789,-0.05638,0.30844,0.89007,-0.19282,-0.03076,1.2707,0.05648
0.44109,0.91263,-0.17239,0.31892,0.91416,-0.15324,0.49238,0.79241,-0.22303,0.31218,1.003,-0.09305
0.57661,0.81051,-0.21484,0.35854,0.79091,-0.1676,0.50477,0.7239,-0.17712,0.60649,0.81287,-0.1862
