CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.1681,0.91935,-0.01769,0.24608,0.91316,-0.00118,0.47748,0.97138,-0.0831,0.46426,0.94397,-0.08376
0.01946,0.675,-0.00102,0.11031,0.93532,0.00919,0.28213,1.06348,-0.04806,0.30842,0.98723,-0.04469
-0.01651,0.6716,0.02266,0.00507,0.97237,0.02154,0.23876,1.08543,-0.04163,0.23062,1.03581,-0.02232
-0.01946,0.675,0.00102,-0.30842,0.98723,0.04469,-0.28213,1.06348,0.04806,-0.11031,0.93532,-0.00919
-0.1681,0.91935,0.01769,-0.46426,0.94397,0.08376,-0.47748,0.97138,0.0831,-0.24608,0.91316,0.00118
-0.38819,1.0356,0.04245,-0.31253,1.01668,0.07744,-0.54882,0.97531,0.13499,-0.32125,0.88403,0.04263
-0.55221,0.98289,0.09124,-0.03427,1.20387,0.0155,-0.3484,1.10944,0.11679,-0.33552,0.90328,0.07214
-0.54279,1.09581,0.11969,0.09416,1.37888,-0.03278,-0.05454,1.3256,0.0129,-0.21516,1.01229,0.02976
-0.28005,1.25795,0.03629,0.18415,1.53611,-0.06565,0.07354,1.44933,-0.02343,-0.06968,1.15851,-0.01702
-0.14117,1.42533,-0.00535,0.24344,1.71646,-0.0943,0.12594,1.55202,-0.0499,0.01873,1.35452,-0.04088
-0.03026,1.30453,0.00201,0.20939,1.47154,-0.05971,0.17204,1.67518,-0.08787,0.07457,1.47056,-0.06264
0.07243,0.99204,0.00387,0.28663,1.28376,-0.07308,0.21157,1.86552,-0.12653,0.11882,1.63301,-0.08889
0.3078,1.10226,-0.03709,0.50397,1.48421,-0.136,0.20979,1.89956,-0.15072,0.13686,1.73552,-0.12171
0.35385,1.52373,-0.1022,0.50997,1.85568,-0.21604,0.20359,1.98029,-0.19105,0.16213,1.7997,-0.15976
0.28283,1.94237,-0.19099,0.36463,2.27252,-0.31023,0.19203,2.02339,-0.23151,0.1802,1.96671,-0.20337
0.13333,2.07411,-0.21678,0.2366,2.33052,-0.35576,0.15787,2.16164,-0.30344,0.18866,2.11228,-0.27003
0.13122,2.16074,-0.26771,0.18661,2.38211,-0.41529,0.07494,2.22449,-0.35942,0.16272,2.23286,-0.32752
0.11312,2.19719,-0.31317,0.15354,2.48813,-0.48637,0.00752,2.25567,-0.42345,0.12688,2.27631,-0.37675
0.08041,2.28776,-0.37456,0.20391,2.40375,-0.51671,-0.06315,2.33443,-0.4945,0.09237,2.23533,-0.4228
0.02817,2.34131,-0.43186,0.16374,1.98628,-0.46934,-0.15987,2.31274,-0.54604,0.04808,2.20891,-0.45867
-0.01561,2.39135,-0.49003,0.16512,1.68153,-0.45018,-0.26535,2.31951,-0.60257,-0.01258,2.27748,-0.52191
-0.08746,2.32378,-0.52346,0.16995,1.96282,-0.59769,-0.35075,2.24573,-0.63769,-0.08115,2.22652,-0.55652
-0.15291,2.22408,-0.54669,-0.07254,2.36944,-0.72879,-0.46131,2.16979,-0.66983,-0.18759,2.1829,-0.59087
-0.27741,2.20315,-0.58579,-0.41505,2.34349,-0.74506,-0.56955,2.08093,-0.70354,-0.29226,2.17066,-0.63864
-0.39736,2.20931,-0.63469,-0.54489,2.23367,-0.76462,-0.68536,2.09209,-0.75453,-0.38063,2.06187,-0.65832
-0.49016,2.04358,-0.63171,-0.67354,2.197,-0.79221,-0.82124,2.03049,-0.78888,-0.45636,1.99796,-0.69288
-0.60704,1.97625,-0.65481,-0.81903,2.12711,-0.8189,-1.0164,2.03484,-0.85948,-0.55321,1.89003,-0.70053
-0.71812,1.9318,-0.68544,-0.99708,1.74823,-0.81668,-1.09234,1.62154,-0.83603,-0.67835,1.85971,-0.729
-0.81263,1.85677,-0.70933,-1.26174,1.13474,-0.81093,-1.30432,1.11698,-0.83214,-0.77444,1.7886,-0.75038
-0.92281,1.83166,-0.75417,-1.11513,0.65414,-0.6954,-1.27765,0.61792,-0.74861,-0.85299,1.71963,-0.76994
-0.95311,1.60199,-0.72685,-1.27116,0.66143,-0.83046,-1.32972,0.54949,-0.85196,-0.89958,1.60749,-0.75907
-0.97535,1.46172,-0.70766,-1.33129,0.94262,-0.87148,-1.44178,0.86028,-0.94403,-0.92359,1.46159,-0.72653
-1.01605,1.30826,-0.68661,-0.85732,1.09513,-0.61843,-0.98678,1.15086,-0.68979,-0.90268,1.29024,-0.67713
-0.97186,1.18352,-0.64739,-0.70544,0.99027,-0.51208,-0.92613,1.03922,-0.61831,-0.88802,1.15242,-0.63619
-0.91648,1.04977,-0.59544,-0.5846,0.90111,-0.40114,-0.81464,0.93742,-0.52374,-0.73423,1.01879,-0.55245
-0.702,0.94759,-0.49935,-0.46302,0.86362,-0.27456,-0.64371,0.87624,-0.37232,-0.67447,0.92596,-0.48334
-0.54924,0.893,-0.39251,-0.28147,0.85132,-0.12463,-0.32026,0.8512,-0.17088,-0.51762,0.84458,-0.35665
-0.43852,0.86342,-0.27557,-0.03563,0.88184,0.05516,-0.13263,0.79615,-0.01858,-0.32622,0.83973,-0.19799
-0.3226,0.8765,-0.1505,0.2249,0.8337,0.2241,0.2078,0.6143,0.1802,-0.1411,0.8593,-0.0231
