CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.10523,2.5028,0.15426,-0.00557,3.5628,0.33001,0.13206,3.2001,0.13668,0.04534,3.993,0.63486
0.34665,2.5113,-0.4748,0.23611,4.1221,-0.97336,0.16843,3.1857,-0.45178,0.31464,3.5437,-0.60337
0.70128,2.6462,-0.76931,0.60224,4.061,-1.3155,0.52112,2.931,-0.75752,0.61501,3.5513,-0.92063
1.0066,2.9801,-1.1128,0.96331,4.0447,-1.6647,0.8904,2.9797,-1.1097,0.92477,3.5189,-1.2316
1.2281,3.4451,-1.5129,1.1681,3.7854,-1.8538,1.2166,2.8131,-1.395,1.182,3.4314,-1.489
1.2721,3.3544,-1.7007,0.81447,4.2325,-1.9881,1.0302,2.809,-1.4575,1.0562,3.2077,-1.6164
0.90662,3.4972,-1.7155,0.50063,3.9786,-1.8944,0.78167,3.1444,-1.589,0.872,3.5745,-1.7528
0.56134,3.1233,-1.5143,0.13155,3.2326,-1.5748,0.46607,3.1954,-1.6152,0.68315,3.7939,-1.8017
0.24732,2.2571,-1.1035,-0.27043,2.5732,-1.3135,0.13497,3.3005,-1.6635,0.52606,4.0906,-1.9197
-0.10844,1.668,-0.83501,-0.71672,1.8719,-0.99863,-0.10584,3.2367,-1.6966,0.19706,3.9572,-1.9153
-0.51201,1.5529,-0.86664,-0.94207,1.6825,-1.0802,-0.37386,3.2625,-1.7923,-0.13731,3.9788,-1.9476
-0.71564,1.7595,-1.1482,-1.3893,1.8451,-1.3927,-0.7621,2.8227,-1.6156,-0.6328,3.7723,-1.9285
-0.94287,1.9084,-1.3854,-1.9084,2.1606,-1.8074,-1.3355,1.9828,-1.1444,-1.4278,3.022,-1.6997
-1.7771,2.0201,-1.507,-2.6611,2.3021,-1.8637,-1.9503,1.7,-1.0746,-2.1823,2.1796,-1.4143
-2.176,2.0334,-1.6129,-2.1687,2.7055,-2.2371,-1.5166,2.1065,-1.4901,-2.0857,2.2896,-1.6525
-1.9925,2.1684,-1.7696,-1.9966,2.5858,-2.1461,-1.2522,2.4205,-1.8161,-1.5149,2.3394,-1.7492
-1.4871,2.369,-1.9336,-3.3872,1.6808,-1.8353,-1.3429,2.333,-1.8454,-1.6675,2.7847,-2.1209
-1.5425,2.4279,-2.0489,-3.1598,1.2388,-1.6394,-1.4146,2.2918,-1.8953,-1.7167,2.6269,-2.1254
-1.6065,2.4137,-2.0851,-2.5096,1.1062,-1.3919,-1.454,2.3655,-1.9701,-1.7313,2.5103,-2.0825
-1.6171,2.3786,-2.0535,-2.3726,1.5618,-1.6004,-1.4166,2.3033,-1.9068,-1.6874,2.435,-2.0233
-1.561,2.2723,-1.9327,-1.6981,2.2611,-1.721,-1.3556,2.2985,-1.8323,-1.6297,2.3053,-1.8904
-1.3942,2.1782,-1.7589,-1.0785,2.5196,-1.4627,-1.0083,2.2117,-1.5971,-1.3066,2.1914,-1.7051
-1.1252,2.1669,-1.5401,-0.71961,2.3616,-1.0199,-0.77223,2.266,-1.3786,-1.0518,2.0682,-1.3468
-0.69326,2.084,-1.1192,-0.33156,2.3597,-0.61987,-0.45822,2.3221,-1.1027,-0.72417,1.9341,-0.95636
-0.21682,1.9953,-0.65927,-0.0569,2.421,-0.31141,-0.30135,2.2309,-0.78693,-0.21328,1.7894,-0.46774
0.36258,1.9972,-0.16371,0.04375,2.1294,0.11689,-0.28301,1.9097,-0.40851,0.29624,1.7625,-0.04661
0.91845,1.9183,0.31456,0.24884,1.6937,0.46714,0.00719,1.4807,-0.00829,0.81909,1.6735,0.42562
0.76316,2.0511,0.19673,0.57862,1.5729,0.58256,0.55595,1.4653,0.24404,0.34753,1.82,0.08742
0.37556,2.3709,-0.05749,0.84882,1.8163,0.59246,0.99953,1.8418,0.37047,0.18081,2.2073,-0.0531
0.21523,2.5819,-0.08546,0.84176,2.3857,0.51018,1.2246,2.3036,0.42842,0.05798,2.5147,-0.07259
0.06289,2.6503,-0.09955,0.51714,2.8292,0.33921,0.9163,2.8371,0.1933,-0.06594,2.4446,-0.08189
-0.03226,2.8231,-0.09359,0.03659,3.2612,0.15505,0.40452,3.3563,-0.0812,-0.15267,2.5388,-0.05691
-0.11411,2.8955,-0.07039,-0.31231,3.6033,0.01064,0.06453,3.4934,-0.19025,-0.22576,2.8555,-0.02009
-0.19443,2.8971,-0.04364,-0.50684,3.4322,-2.03E-05,-0.20865,3.2623,-0.23804,-0.26889,2.79,0.02128
-0.28433,2.9893,-0.01915,-0.65542,3.4276,0.02494,-0.41246,3.0905,-0.2495,-0.30215,2.9773,0.04393
-0.34797,3.0043,0.02108,-0.7162,3.4935,0.05537,-0.51224,2.4663,-0.21964,-0.38651,3.1238,0.09983
-0.4334,3.1048,0.0578,-0.7499,3.2216,0.069,-0.3918,2.1236,-0.133,-0.4041,2.8565,0.1028
